FantasyPlayerKey,PlayerID,Name,Team,Position,AverageDraftPosition,AverageDraftPositionPPR,ByeWeek,LastSeasonFantasyPoints,ProjectedFantasyPoints,AuctionValue,AuctionValuePPR,AverageDraftPositionIDP,AverageDraftPositionRookie,AverageDraftPositionDynasty,AverageDraftPosition2QB,is_drafted,draft_order,my_team
BUF,37,Buffalo Bills,BUF,DEF,303.0,219.6,13.0,255.3,212.8,3,3,,,239.3,222.5,0,,False
19815,19815,Christian Kirk,JAX,WR,120.8,112.3,9.0,268.7,212.1,22,24,,,107.4,123.7,0,,False
23151,23151,Drake London,ATL,WR,105.5,93.6,11.0,181.4,212.1,20,24,,,58.5,133.4,0,,False
21045,21045,Marquise Brown,ARI,WR,137.9,132.8,14.0,151.5,209.9,19,24,,,,120.5,0,,False
21747,21747,Brandon Aiyuk,SF,WR,125.9,114.0,9.0,255.0,207.2,22,24,,,82.9,136.3,0,,False
21735,21735,Gabe Davis,BUF,WR,158.3,163.4,13.0,210.4,204.3,12,10,,,161.9,177.3,0,,False
23155,23155,Jahan Dotson,WAS,WR,143.0,144.7,14.0,162.7,203.5,14,14,,,93.6,185.0,0,,False
22563,22563,Khalil Herbert,CHI,RB,160.0,168.5,13.0,185.2,202.5,14,12,,,,191.5,0,,False
18880,18880,Chris Godwin,TB,WR,107.2,100.4,5.0,202.2,201.9,22,31,,,63.0,78.8,0,,False
18993,18993,Samaje Perine,DEN,RB,202.5,175.3,9.0,177.2,198.2,14,14,,,270.6,216.3,0,,False
24902,24902,Brandon Aubrey,DAL,K,1552.2,1606.7,7.0,0.0,196.1,0,0,,,,,0,,False
DAL,48,Dallas Cowboys,DAL,DEF,292.7,217.9,7.0,285.9,195.7,3,6,,,249.3,226.4,0,,False
23153,23153,George Pickens,PIT,WR,131.1,139.6,6.0,194.9,195.2,14,14,,,89.5,173.3,0,,False
NE,21,New England Patriots,NE,DEF,326.8,243.4,11.0,316.6,194.0,3,3,,,,240.0,0,,False
MIA,64,Miami Dolphins,MIA,DEF,415.3,309.8,10.0,165.1,194.0,3,3,,,286.8,260.6,0,,False
SF,93,San Francisco 49ers,SF,DEF,270.6,183.8,9.0,274.0,192.3,3,3,,,241.0,209.5,0,,False
PHI,26,Philadelphia Eagles,PHI,DEF,299.6,204.2,10.0,262.1,192.3,6,3,,,283.2,240.3,0,,False
20805,20805,T.J. Hockenson,MIN,TE,71.5,74.9,13.0,220.2,191.7,31,31,,,79.7,70.1,0,,False
18995,18995,Jamaal Williams,NO,RB,161.7,170.2,11.0,364.1,191.4,12,12,,,161.3,161.5,0,,False
GB,12,Green Bay Packers,GB,DEF,551.4,371.0,6.0,195.7,190.6,3,3,,,,,0,,False
21861,21861,Antonio Gibson,WAS,RB,175.3,160.0,14.0,204.1,189.9,12,10,,,146.4,138.5,0,,False
NYJ,82,New York Jets,NYJ,DEF,444.2,267.2,7.0,194.0,188.9,3,3,,,,,0,,False
22108,22108,Tyler Bass,BUF,K,309.8,260.4,13.0,226.4,187.6,3,6,,,278.3,241.3,0,,False
21077,21077,Diontae Johnson,PIT,WR,141.3,127.6,6.0,161.2,187.4,12,17,,,103.8,109.3,0,,False
BAL,36,Baltimore Ravens,BAL,DEF,333.6,268.9,13.0,221.3,187.2,3,0,,,264.3,252.7,0,,False
16568,16568,Brandin Cooks,DAL,WR,166.8,154.9,7.0,150.8,186.6,12,15,,,185.3,147.7,0,,False
23162,23162,Jordan Addison,MIN,WR,178.7,146.4,13.0,0.0,185.7,10,10,,13.9,220.2,221.6,0,,False
23119,23119,Treylon Burks,TEN,WR,149.8,153.2,7.0,104.0,185.7,10,10,,,69.8,157.6,0,,False
14688,14688,Justin Tucker,BAL,K,272.3,221.3,13.0,272.3,185.3,6,9,,,244.1,221.6,0,,False
21744,21744,Michael Pittman Jr.,IND,WR,122.5,124.2,11.0,200.0,185.0,14,17,,,73.2,88.3,0,,False
23173,23173,Zach Charbonnet,SEA,RB,211.0,187.2,5.0,0.0,184.2,6,9,,12.3,206.1,237.1,0,,False
SEA,90,Seattle Seahawks,SEA,DEF,478.3,360.8,5.0,195.7,183.8,0,0,,,,,0,,False
KC,55,Kansas City Chiefs,KC,DEF,384.7,321.7,10.0,205.9,183.8,3,3,,,,262.3,0,,False
CLE,8,Cleveland Browns,CLE,DEF,439.1,393.2,5.0,187.2,183.8,3,3,,,,256.2,0,,False
19063,19063,George Kittle,SF,TE,88.5,90.2,9.0,239.1,183.2,29,27,,,105.4,97.2,0,,False
23157,23157,Jaxon Smith-Njigba,SEA,WR,154.9,143.0,5.0,0.0,182.2,12,12,,7.8,176.3,215.6,0,,False
19073,19073,Harrison Butker,KC,K,320.0,275.7,10.0,166.8,182.1,3,6,,,277.1,246.1,0,,False
22535,22535,Elijah Mitchell,SF,RB,190.6,205.9,9.0,69.1,181.7,10,12,,,190.6,175.5,0,,False
PIT,28,Pittsburgh Steelers,PIT,DEF,418.7,325.1,6.0,175.3,180.4,3,3,,,286.4,244.4,0,,False
16964,16964,Darren Waller,NYG,TE,117.4,117.4,13.0,96.7,179.5,27,27,,,155.9,127.0,0,,False
WAS,97,Washington Commanders,WAS,DEF,432.3,383.0,14.0,200.8,178.7,3,3,,,,284.6,0,,False
ATL,2,Atlanta Falcons,ATL,DEF,491.9,493.6,11.0,141.3,178.7,0,0,,,,,0,,False
DET,11,Detroit Lions,DET,DEF,527.6,435.7,9.0,165.1,178.7,0,0,,,,,0,,False
22508,22508,Kyle Pitts,ATL,TE,102.1,119.1,11.0,81.0,178.0,22,22,,,34.6,106.4,0,,False
19041,19041,Jake Elliott,PHI,K,403.4,352.3,10.0,205.9,176.8,6,6,,,272.8,258.5,0,,False
22908,22908,Evan McPherson,CIN,K,386.4,277.4,7.0,207.6,176.2,3,6,,,,,0,,False
20790,20790,Damien Harris,BUF,RB,187.2,197.4,13.0,125.8,176.1,14,9,,,185.3,143.6,0,,False
IND,14,Indianapolis Colts,IND,DEF,529.3,462.9,11.0,197.4,175.3,3,3,,,,285.4,0,,False
LAC,84,Los Angeles Chargers,LAC,DEF,423.8,357.4,5.0,171.9,175.3,0,0,,,,257.7,0,,False
NO,69,New Orleans Saints,NO,DEF,394.9,308.1,11.0,187.2,175.3,3,3,,,292.7,234.4,0,,False
19800,19800,Courtland Sutton,DEN,WR,163.4,156.6,9.0,162.4,174.8,9,12,,,151.1,146.2,0,,False
19863,19863,Dallas Goedert,PHI,TE,108.9,120.8,10.0,146.7,174.5,26,24,,,111.1,119.8,0,,False
17960,17960,Michael Thomas,NO,WR,177.0,165.1,11.0,59.7,172.6,9,14,,,214.6,202.2,0,,False
22863,22863,Riley Patterson,DET,K,733.6,474.9,9.0,221.3,171.6,6,6,,,,,0,,False
17217,17217,Raheem Mostert,MIA,RB,224.7,240.0,10.0,233.7,171.6,9,9,,,258.7,185.0,0,,False
18883,18883,JuJu Smith-Schuster,NE,WR,183.8,173.6,11.0,182.6,171.5,12,10,,,175.0,166.3,0,,False
23120,23120,Zay Flowers,BAL,WR,207.6,192.3,13.0,0.0,170.4,6,6,,10.6,266.9,231.8,0,,False
24226,24226,Quentin Johnston,LAC,WR,199.1,188.9,5.0,0.0,170.2,6,6,,16.5,247.0,237.6,0,,False
14996,14996,Brandon McManus,JAX,K,391.5,372.7,9.0,212.8,170.2,6,6,,,,268.6,0,,False
20325,20325,Greg Joseph,MIN,K,454.4,560.0,13.0,214.5,169.7,3,3,,,,253.9,0,,False
19989,19989,Daniel Carlson,LV,K,287.6,255.3,13.0,270.6,169.7,3,6,,,277.4,237.4,0,,False
17215,17215,Jason Myers,SEA,K,388.1,337.0,5.0,263.8,169.5,3,3,,,,254.4,0,,False
14697,14697,Greg Zuerlein,NYJ,K,422.1,379.5,7.0,221.3,169.0,6,6,,,306.4,273.9,0,,False
23250,23250,Tyler Allgeier,ATL,RB,153.2,226.4,11.0,244.1,168.7,10,9,,,,154.0,0,,False
MIN,67,Minnesota Vikings,MIN,DEF,507.2,427.2,13.0,168.5,168.5,0,0,,,,,0,,False
TB,95,Tampa Bay Buccaneers,TB,DEF,435.7,345.5,5.0,173.6,168.5,3,0,,,,250.7,0,,False
20360,20360,Jeff Wilson Jr.,MIA,RB,248.5,253.6,10.0,232.3,168.3,12,12,,,,,0,,False
24423,24423,Jake Moody,SF,K,498.7,386.4,9.0,0.0,167.5,0,0,,,,,0,,False
